date,sales
09-07-19,0.2
09-07-19,0.4
09-07-19,0.1
09-07-19,0.2
09-07-19,0.1
09-07-19,0.4
09-07-19,0.2
09-07-19,0.3
09-07-19,0.2
09-07-19,0.2
09-07-19,0.2
09-07-19,0
09-07-19,0.2
09-07-19,1.1
09-07-19,0.5
09-07-19,0.4
09-07-19, -   
09-07-19,1.2
09-07-19,0.1
09-07-19,0.4
09-07-19,0.1
09-07-19,0.2
09-07-19,0.1
09-07-19,0.1
10-07-19,0.1
10-07-19,0.2
10-07-19,0.3
10-07-19,0.1
10-07-19,0.1
10-07-19,0.1
10-07-19,0.2
10-07-19,0.2
10-07-19,0.1
10-07-19,0.7
11-07-19,0.1
11-07-19,0.2
11-07-19,1.1
11-07-19,1
11-07-19,0.1
11-07-19,0.1
11-07-19,0.1
11-07-19,0.2
11-07-19,0.1
11-07-19,0.7
11-07-19,0.9
11-07-19,2
11-07-19,0.2
11-07-19,0.3
11-07-19,0.2
11-07-19,0.3
11-07-19,0.1
11-07-19,0.2
11-07-19,0.3
11-07-19, -   
11-07-19,0.1
11-07-19,0.3
11-07-19,0.2
11-07-19,0.2
11-07-19,0.1
11-07-19,0.2
11-07-19,0.2
11-07-19,0.2
11-07-19,0.2
11-07-19,0.2
12-07-19,0.1
12-07-19,1.3
12-07-19,0.2
12-07-19,0.1
12-07-19,0.2
12-07-19,0.8
12-07-19,0.1
12-07-19,1.3
12-07-19,0.2
12-07-19,0.1
12-07-19,0.3
12-07-19,0
12-07-19,0.1
12-07-19,0.1
12-07-19,0.1
12-07-19,0.1
12-07-19,0.7
12-07-19,0.2
12-07-19,0.2
12-07-19,0.1
12-07-19,1.2
13-07-19,0.3
13-07-19,0.3
13-07-19,0.3
13-07-19,0
13-07-19,0.1
13-07-19,0.1
13-07-19,0.5
13-07-19,0.5
13-07-19,1.2
13-07-19,0.2
13-07-19,0.1
13-07-19,0.2
13-07-19,0.8
13-07-19,0.5
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.1
15-07-19,0.1
15-07-19,0.2
15-07-19,0.1
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.1
15-07-19,0.2
15-07-19,0.2
15-07-19,0.1
15-07-19,0.1
15-07-19,0.2
15-07-19,0.2
15-07-19,0.1
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.3
15-07-19,0.1
15-07-19,0.1
15-07-19,0.1
15-07-19,0.1
15-07-19,0.3
15-07-19,0.2
15-07-19,0.2
15-07-19,0.2
15-07-19,0.4
15-07-19,0.2
15-07-19,0.2
16-07-19,1
16-07-19,0.7
17-07-19,0.2
17-07-19,0.2
17-07-19,0.2
17-07-19,0.1
17-07-19,0.2
17-07-19,0.1
17-07-19,0.2
17-07-19,0.7
17-07-19,0.2
17-07-19,0.1
17-07-19,0.2
17-07-19,0.2
17-07-19,0.2
18-07-19,0.4
18-07-19,0.4
18-07-19,0.2
18-07-19, -   
18-07-19,0.1
18-07-19,0.3
18-07-19,0.4
18-07-19,0.3
18-07-19,0.2
18-07-19, -   
18-07-19,0.5
18-07-19,0.2
18-07-19, -   
18-07-19,0.2
18-07-19,0.9
18-07-19,0.8
18-07-19,0.2
18-07-19,0.1
19-07-19,0.4
19-07-19,0
19-07-19,0.1
19-07-19,0.1
19-07-19,0.4
19-07-19,0.4
19-07-19,0.2
19-07-19,0.1
20-07-19,0.4
20-07-19,0.1
20-07-19,0.4
20-07-19,0.1
20-07-19,0.3
20-07-19,0.3
20-07-19,0.3
20-07-19,0.2
20-07-19,0.1
20-07-19,0.1
20-07-19,0.3
21-07-19,0.1
22-07-19,0
22-07-19,0.1
22-07-19, -   
22-07-19, -   
22-07-19,0.1
22-07-19,0.2
22-07-19,0.2
22-07-19,0.2
22-07-19,0.2
22-07-19,0.3
22-07-19,0.1
23-07-19,0.1
23-07-19,5.8
23-07-19,0.4
23-07-19,0.2
23-07-19,0.3
